abv,image,name,official_content,origin,url,winery,year
64.4%,https://ip.distiller.com/images/spirits/3b3ebab0-9d84-0136-dc43-3e983e3ab871/btac_ths_2018_tile.jpg?1537284449,Thomas H. Handy Sazerac Rye (Fall 2018),"Thomas H. Handy Sazerac Rye (Fall 2018) is an uncut, unfiltered Kentucky straight rye and is one of five bottlings in the Buffalo Trace Antique Collection released each fall. This year's batch was distilled in spring 2012 and aged in Warehouses I & L. It is bottled at 128.8 proof."," Kentucky, USA
",https://distiller.com/spirits/thomas-h-handy-sazerac-rye-fall-2018,"
Thomas H. Handy ",NAS
44.5%,https://ip.distiller.com/images/spirits/c8b9d330-7814-0136-a942-22e02996e201/highland_park_wings_of_the_eagle_tile.jpg?1533168692,Highland Park Wings of the Eagle 16 Year,Highland Park Wings of the Eagle 16 Year is one of three new travel retail releases announced in summer 2018. The names and packaging feature animals which the Vikings held in high regard. Wings of the Eagle aged for 16 years primarily in European oak ex-sherry casks. Bottled at 44.5% ABV and sold in liter-sized bottles.," Islands, Scotland
",https://distiller.com/spirits/highland-park-wings-of-the-eagle-16-year,"
Highland Park ",16 Year
63.35%,https://ip.distiller.com/images/spirits/ddb93320-8d13-0136-7d0c-2aaa06afa4da/bookers_kentucky_chew_tile.jpg?1535476842,"Booker's Bourbon Batch 2018-03 ""Kentucky Chew""","Booker's Bourbon Batch 2018-03 ""Kentucky Chew"" is the third Booker's release for 2018. It's named for Booker Noe's signature way of tasting bourbon, a term coined by a whiskey writer who had the pleasure of witnessing this method firsthand. This batch was selected by Fred Noe, Booker's son, who also employs the Kentucky Chew method when tasting bourbon. Aged for 6 years, 4 months, and 12 days, this Kentucky straight bourbon is bottled uncut and unfiltered at 126.7 proof."," Kentucky, USA
",https://distiller.com/spirits/booker-s-bourbon-batch-2018-03-kentucky-chew,"
Booker's ",6 YR 4 MO 12 DY
48.9%,https://ip.distiller.com/images/spirits/7d812d50-94f6-0136-fbae-7ef66aa78cf1/compass_box_flaming_heart_tile.jpg?1536343512,Compass Box Flaming Heart (Sixth Edition),"Inspired by a rock song, Compass Box Flaming Heart was first introduced in 2006. Like all previous editions, this one combines single malt aged in new heavily-toasted French oak with peat-fired malt from Islay. However, for this 2018 edition, the brand has reintroduced sherry casks to the mix, something that hadn't been done since the 2012 release. The exact recipe is featured on the Compass Box website. This limited edition is comprised of 15,050 standard bottles along with 800 large format (1.5L/1.75L) bottles. Available in Europe beginning September 2018 with the US to follow."," Scotland
",https://distiller.com/spirits/compass-box-flaming-heart-sixth-edition,"
Compass Box ",NAS
43.4%,https://ip.distiller.com/images/spirits/2cd84730-733b-0136-56ce-7690d2991d06/mortlach_20_tile.jpg?1532640569,"Mortlach 20 Year ""Cowie's Blue Seal""","Announced July 2018, this 20 Year single malt is one of three new core whiskies for Mortlach replacing Rare Old, Special Strength, 18 Year and 25 Year which were introduced in 2014. Mortlach is known for producing meaty, sulphury whiskies with its distillation process in a method called ""The Way"". The brand boasts a 2.81 times distillation process invented in 1896 using a variety of shapes and sizes of pot stills which is far too difficult to explain here. Matured in American oak ex-sherry casks and bottled at 43.4% ABV."," Speyside, Scotland
",https://distiller.com/spirits/mortlach-20-year-cowie-s-blue-seal,"
Mortlach ",20 Year
50.0%,https://ip.distiller.com/images/spirits/a6591240-9cdb-0136-1302-0267a864efb0/port_charlotte_heavily_peated_10_tile.jpg?1537213612,Port Charlotte 10 Year,"Port Charlotte 10 Year is a permanent addition to Bruichladdich's portfolio and replaces the multi-vintage Scottish Barley bottling. Made using 100% Scottish barley from the Inverness Shire region. This 10 year old bottling matures in a variety of casks: 65% in 1st fill American whiskey, 10% in 2nd fill American whiskey, and 25% in 2nd fill French wine casks. Port Charlotte bottlings are the heavily peated single malt line distilled at Bruichladdich with the barley peated to 40ppm. Bottled at 50% ABV, it is non-chillfiltered and has no color added. Available beginning May 2018."," Islay, Scotland
",https://distiller.com/spirits/port-charlotte-10-year,"
Port Charlotte ",10 Year
50.0%,https://ip.distiller.com/images/spirits/31baddf0-77e7-0136-91e2-2a8e8a91470d/old_fitzgerald_bib_2018_tile.jpg?1533148359,Old Fitzgerald Bottled in Bond 9 Year (Fall 2018),"This is the second release in the Bottled in Bond series from Heaven Hill. It features Old Fitzgerald Kentucky Straight Bourbon, the brand's wheated bourbon. Aged for 9 years, this bourbon was produced in October 2008 and bottled August 2018. It meets the strict requirements of a bottled-in-bond: the product of a single distillery from a single distilling season, aged a minimum of four years, and bottled at 100 proof or 50% ABV. It features a black label, as will all fall releases in the series with green labels reserved for spring releases. "," Kentucky, USA
",https://distiller.com/spirits/old-fitzgerald-bottled-in-bond-9-year-fall-2018,"
Old Fitzgerald ",9 Year
43.4%,https://ip.distiller.com/images/spirits/91fe8b30-5854-0136-7219-1e5757fd7090/jp_wisers_canada_2018_tile.jpg?1529948630,J.P. Wiser's Commemorative Series Canada 2018,"This limited edition whisky celebrates Canada’s 2018 birthday and honors the 49th parallel’s 200th anniversary – the 5,525-mile undefended international border that separates Canada and the United States. The whisky is a blend of corn and rye whisky bottled at 43.4% abv, a nod to the strength of the whisky made by Canadian whisky barons back in the day. 16,000 bottles are exclusive to Canada."," Ontario, Canada
",https://distiller.com/spirits/j-p-wiser-s-commemorative-series-canada-2018,"
J.P. Wiser's ",NAS
56.3%,https://ip.distiller.com/images/spirits/62523700-36ae-0136-8220-066870bf8bbf/rossville_union_barrel_proof_tile.jpg?1525979362,Rossville Union Master Crafted Barrel Proof Straight Rye,"As the name suggests, this is the cask strength version of Rossville Union, the first proprietary rye brand released by MGP Ingredients. It is made from a batch of 83 barrels, noted on the front of the bottle, aged in new, charred American oak. Barrel Proof is bottled at 112.6 proof and is available beginning June 2018 in select markets in the Midwest and Southwest US."," Indiana , USA
",https://distiller.com/spirits/rossville-union-master-crafted-barrel-proof-straight-rye,"
Rossville Union ",NAS
58.5%,https://ip.distiller.com/images/spirits/c62f4ba0-0ee9-0136-6833-22bc0330eaf7/belle_meade_bourbon_morvedre_cask_tile.jpg?1521750589,Belle Meade Bourbon Mourvèdre Cask Finish,"Belle Meade Bourbon Mourvèdre Cask Finish is the first release in a four-part series from Nelson's Green Brier Distillery dubbed the Craftsman Cask Collection. Each offering in the series will be aged for 10 years before being finished in a unique cask type. This expression was rested for 148 days in a single mourvèdre red wine cask from Withers Winery in the Sierra Foothills of California. Only 288 bottles were in the release, offered at 117 proof."," Indiana (bottled in Tennessee), USA
",https://distiller.com/spirits/belle-meade-bourbon-mourvedre-cask-finish,"
Belle Meade ",NAS
55.9%,https://ip.distiller.com/images/spirits/2eadf620-3ffe-0136-2b9d-0ee1df3636bc/glenallachie_1978_50th_tile.jpg?1527205590,GlenAllachie 1978 39 Year 50th Anniversary Bottling #10296,"Reviving GlenAllachie, a distillery in Speyside, and launching it as a serious single malt scotch, is Billy Walker's new project after selling The BenRiach Company to Brown-Forman. This vintage 1978 39 Year is part of six of whiskies bottled to celebrate the 50th anniversary of the distillery. This sextet also represents the first ever official bottlings under new ownership, all single cask and all bottled at cask strength. Released in April 2018, the 50th Anniversary Bottlings sold out quickly."," Speyside, Scotland
",https://distiller.com/spirits/the-glenallachie-1978-39-year-50th-anniversary-bottling-10296,"
GlenAllachie ",39 Year
46.0%,https://ip.distiller.com/images/spirits/62efbd60-bd8e-0135-b234-7235595836db/nikka_whisky_single_malt_miyagikyo_rum_wood_finish_tile.jpg?1513881944,Nikka Miyagikyo Single Malt Rum Finish 2017,"Following the release of the Japan-exclusive Yoichi and Miyagikyo Moscatel-finished single malts in September, the two rum-finished expressions were released exclusively for the European and US markets. Available from November 2017, there are only 3500 bottles of the Miyagikyo expression in circulation. "," Japan
",https://distiller.com/spirits/nikka-miyagikyo-single-malt-rum-finish-2017,"
Nikka ",NAS
46.0%,https://ip.distiller.com/images/spirits/7a082eb0-b839-0135-d6a5-3e04b9098a0d/johnnie_walker_blue_ghos_tile.jpg?1512082029,Johnnie Walker Blue Label Ghost and Rare Brora,"This bottling released from Diageo marks the first in the series Ghost and Rare. Each of these releases will highlight ""one incredible whisky at its heart"", which for this bottling is Brora. Created by Master Blender Dr. Jim Beveridge, this blend includes malt and grain whiskies from eight distilleries, three of which are ""ghost"" or closed. In addition to the aforementioned Brora, the other two closed distilleries included are Pittyvaich and Cambus. The other five distilleries are Clynelish, Royal Lochnagar, Glenkinchie, Glenlossie, and Cameronbridge. Bottled at 46% ABV."," Scotland
",https://distiller.com/spirits/johnnie-walker-blue-label-ghost-and-rare,"
Johnnie Walker ",NAS
52.9%,https://ip.distiller.com/images/spirits/1b007450-c9a5-0135-23ee-4641f784003f/highland_park_the_dark_17_year_tile.jpg?1513988733,Highland Park The Dark 17 Year,"The Dark from Highland Park was released in late December 2017 in honor of the autumn and winter seasons on Orkney. This 17 year-old single malt was aged exclusively in European oak sherry butts. The bottle is jet black and adorned with a serpent dragon. It is bottled at 52.9% ABV. Expect The Light to be released in spring 2018 as a nod to the spring and summers seasons. This bottling is limited to 28,000 worldwide."," Islands, Scotland
",https://distiller.com/spirits/highland-park-the-dark-17-year,"
Highland Park ",17 Year
50.2%,https://ip.distiller.com/images/spirits/60a4f1e0-acf4-0135-46d5-520d59956811/the_balvenie_tun_1401_8_tile.jpg?1511205888,The Balvenie Tun 1401 Batch 8,"The Balvenie Tun 1401, Batch 8 is a marriage of barrels from the distillery’s Warehouse 24. Bottled in 2013, this is a vatting of nine American oak casks and three European oak sherry butts, whose ages span a number of decades, and which have all been hand-selected by Malt Master David Stewart. The whisky was rested for several months in Tun 1401 – The Balvenie’s traditional oak marrying vessel. Released exclusively for the European market."," Speyside, Scotland
",https://distiller.com/spirits/the-balvenie-tun-1401-batch-8,"
The Balvenie ",NAS
48.2%,https://ip.distiller.com/images/spirits/6b283420-9e20-0135-d56c-76f371a5c80d/yamazaki_bourbon_barrel_2013_tile.jpg?1511206474,Yamazaki Bourbon Barrel 2013,"The Yamazaki Bourbon Barrel 2013 marks the final release in the series, which started in 2011. Aged exclusively in bourbon barrels and matured in the humid climate of the Yamazaki area, the whiskies became instantly popular. The bottles now retail for more than double their original price upon release. "," Japan
",https://distiller.com/spirits/yamazaki-bourbon-barrel-2013,"
Yamazaki ",NAS
50.5%,https://ip.distiller.com/images/spirits/33c40ea0-94e7-0135-1144-4695697df28c/yellowstone_101_tile.jpg?1508199273,Yellowstone Kentucky Straight Bourbon Finished in Charred Wine Casks (2017 Limited Edition),"This limited edition bottling is comprised of a blending of three Kentucky straight bourbon whiskeys: Seven year-old bourbon, twelve year-old bourbon, and four year-old bourbon distilled at Limestone Branch Distillery. This whiskey, after blending, finished its maturation in toasted, then lightly-charred wine casks. It is bottled at 101 proof (50.5% ABV). Between ""7,000 and 8,000 bottles"" are being produced. Available beginning October 2017."," Kentucky, USA
",https://distiller.com/spirits/yellowstone-kentucky-straight-bourbon-finished-in-charred-wine-casks-2017-limited-edition,"
Yellowstone  ",NAS
57.5%,https://ip.distiller.com/images/spirits/47f46350-8fe0-0135-734e-522fe66c3b58/ichiros_malt_ipa_cask_2017_tile.jpg?1507740590,Chichibu IPA Cask Finish,"For this release, the famed Chichibu distillery collaborated with several craft beer breweries in Japan, one of which is the famed Shigakogen brewery. Used casks from the distillery were sent to the breweries, which in turn aged beer in them, and sent them back for more whisky to be filled in. A total of 6,700 bottles were released and will be arriving in the West by the end of 2017."," Japan
",https://distiller.com/spirits/chichibu-ipa-cask-finish,"
Ichiro's Malt ",NAS
55.0%,https://ip.distiller.com/images/spirits/d8a0c3f0-5644-0136-c568-3e5ed34e7708/old_forester_presidents_choice_tile.jpg?1529454235,Old Forester The President's Choice (Re-release),"To mark the occasion of the grand opening of Old Forester Distilling Co. in June 2018, Brown-Forman has decided to re-release a historic bottling. The President's Choice is a single barrel bourbon release selected by current president and fifth generation family member, Campbell Brown, under the guidance of Master Taster Jackie Zykan. The bourbon will typically be aged 8 years (exact age will be written on each bottle) with the proof in the 110-120 range. The President's Choice will be sold at the Whiskey Row distillery in Louisville and in select Kentucky retailers. "," Kentucky, USA
",https://distiller.com/spirits/old-forester-the-president-s-choice,"
Old Forester ",Varies
43.0%,https://ip.distiller.com/images/spirits/3dc56050-8744-0135-346b-3edf6dc1e499/yamazaki_limited_edition_2017_tile.jpg?1506726050,Yamazaki Limited Edition 2017,"In 2014 Japan's most popular distillery, the Yamazaki, released the first expression in its Limited Edition series, and has since released a new one each year . This release marks the fourth release in the limited edition range, which grows more popular every year. A single malt comprising of vintages of up to 20 years old, including whiskies matured in bourbon, sherry, and European oak casks. Suntory is quite secretive concerning the production of these expressions. "," Japan
",https://distiller.com/spirits/yamazaki-limited-edition-2017,"
Yamazaki ",NAS
63.7%,https://ip.distiller.com/images/spirits/943e95b0-045b-0136-4988-366a97146cf3/bookers_2018_01_kathleens_batch_tile.jpg?1520547370,Booker's Bourbon Batch 2018-1 Kathleen's Batch,"This batch is named in honor of Kathleen DiBenedetto, former brand manager during the launch of the Beam Small Batch Bourbon Collection in the early 1990's. She worked closely with Booker Noe over the years and in 2015, she was recognized by the Kentucky Bourbon Hall of Fame for her contributions to the bourbon category. As of March 2018, she holds the title of Senior Director of On-Premise and Luxury Marketing for Beam Suntory. Kathleen, along with Fred Noe and Booker's Roundtable Members, selected this batch in early 2018. Aged in new, charred American oak for 6 years, 3 months, and 14 days. As always, the bourbon is uncut and unfiltered at 127.4 proof. "," Kentucky, USA
",https://distiller.com/spirits/booker-s-bourbon-batch-2018-1-kathleen-s-batch,"
Booker's ",6 YR 3 MO 14 DY
58.4%,https://ip.distiller.com/images/spirits/5efe6830-8f56-0135-0248-7671a20a8f65/macallan_classic_cut_tile.jpg?1507584402,The Macallan Classic Cut,"Released in the fall of 2017, this is a limited edition bottling. It is a no-age statement release aged in oloroso sherry seasoned European and American oak casks. Bottled at 58.4% ABV with all natural color. "," Highlands, Scotland
",https://distiller.com/spirits/the-macallan-classic-cut,"
The Macallan ",NAS
43.0%,https://ip.distiller.com/images/spirits/44297650-8111-0135-a991-3656d3f74cf7/glenfiddich_winter_storm_21_tile.jpg?1506035137,Glenfiddich Winter Storm 21 Year,"Winter Storm is the third installment in Glenfiddich's Experimental Collection following IPA Experiment and Project XX. This 21 year-old single malt finishes its maturation for six months in French oak icewine casks from the Peller Estate in Niagara, Ontario. Icewine, also called eiswein, uses grapes frozen on the vine which concentrate the sugars creating a plush dessert wine. It will be released in two batches: October 2017 and March 2018. "," Speyside, Scotland
",https://distiller.com/spirits/glenfiddich-winter-storm-21-year,"
Glenfiddich ",21 Year
45.0%,https://ip.distiller.com/images/spirits/70504540-6f1b-0135-4553-4a25c911964f/btac_2017_eaglerare_tile.jpg?1505835944,Eagle Rare 17 Year Bourbon (Fall 2017),"This bourbon contains a mashbill of Kentucky corn, Minnesota rye, and North Dakota malted barley. Distilled to 135 proof in the spring of 2000, this bourbon entered the barrel at 125 proof. It spent over 17 years in the barrel on the 1st, 2nd, and 3rd floors of Warehouses C, K, and P. Only 36 barrels make up this batch. Eagle Rare 17 Year is 90 proof at bottling.
"," Kentucky, USA
",https://distiller.com/spirits/eagle-rare-bourbon-17-year-fall-2017,"
Eagle Rare ",17 Year
44.6%,https://ip.distiller.com/images/spirits/7264c720-64d4-0135-7a89-5a44f331f9ce/port_dundas_52_tile.jpg?1502906958,Port Dundas 52 Year (2017 Special Release),"Released in 2017 as part of Diageo's annual fall special release collection, this single grain whisky was distilled in 1964. Aged for 52 years in refill American oak hogsheads. Bottled at 44.6% ABV, only 752 bottles are available for purchase. "," Lowlands, Scotland
",https://distiller.com/spirits/port-dundas-52-year-2017-special-release,"
Port Dundas ",52 Year
58.4%,https://ip.distiller.com/images/spirits/90487a20-6448-0135-abe5-4283302e629a/blairathol_23_tile.jpg?1502906901,Blair Athol 23 Year (2017 Special Release),"Released in 2017 as part of Diageo's annual fall special release collection, this whisky was distilled in 1993. This Highlands single malt was aged for 23 years in ex-bodega European oak butts. This edition is bottled at 58.4% ABV. Availability limited to 5514 bottles."," Highlands, Scotland
",https://distiller.com/spirits/blair-athol-23-year-2017-special-release,"
Blair Athol Distillery ",23 Year
51.9%,https://ip.distiller.com/images/spirits/0801f7f0-6449-0135-935d-0e01b0e1b514/brora_34_tile.jpg?1502906909,Brora 34 Year (2017 Special Release),"Released in 2017 as part of Diageo's annual fall special release collection, this whisky was distilled in 1982. It was aged for 34 years in refill American oak hogsheads. Bottled at 51.9% ABV. It is limited to an availability of 3000 bottles. "," Highlands, Scotland
",https://distiller.com/spirits/brora-34-year-2017-special-release,"
Brora ",34 Year
48.3%,https://ip.distiller.com/images/spirits/d4b87cc0-6509-0135-8ab7-026c740d7f77/balvenie_peat_week_14_tile.jpg?1502929149,The Balvenie Peat Week 14 Year (2002 Edition),"In 2002, The Balvenie began to set aside one week each year to distill heavily-peated whisky. This peated single malt release is a limited, vintage bottling, but it is expected to become an annual release. Matured entirely in American oak. Expected September 2017 release date. "," Speyside, Scotland
",https://distiller.com/spirits/the-balvenie-peat-week-14-year-2002-edition,"
The Balvenie ",14 Year
46.0%,https://ip.distiller.com/images/spirits/7700cef0-4963-0135-6534-6653ee472923/hirsch_high_rye_8_year_tile.jpg?1499906224,Hirsch Small Batch High-Rye Straight Bourbon 8 Year,"Released in mid-July 2017, this small batch bourbon release from Hirsch is comprised of two high-rye mash bills. In addition to corn from both Indiana and Ohio, one contains 21% rye and the other 36% rye. This sourced whiskey is aged in barrels with a char #4 on the bodies of the barrels and a char #2 on the heads of the barrels. This straight bourbon was aged for 8 years. "," Indiana, USA
",https://distiller.com/spirits/hirsch-small-batch-high-rye-straight-bourbon-8-year,"
HIRSCH ",8 Year
42.8%,https://ip.distiller.com/images/spirits/8b66a060-4d45-0135-9375-724031314348/fukano_whisky_tile.jpg?1500326098,Fukano Whisky (2017 Edition),"Released in July 2017, there will be 4400 bottles available worldwide for this 2017 edition. This is a no age statement release with the whisky comprised of malted rice grown in Japan. This batch is made from whisky aged in five used Fukano whisky barrels along with three first-fill French red wine barrels. Bottled at 42.8% ABV. "," Japan
",https://distiller.com/spirits/fukano-whisky-2017-edition,"
Fukano ",NAS
50.0%,https://ip.distiller.com/images/spirits/24a07fa0-27cf-0135-aebf-4ecfee6d4a9a/abraham_bowman_sequential_series_fourth_use_barrels_tile.jpg?1496252442,Abraham Bowman Sequential Series 4th Use Barrels,"This bourbon was transferred into used barrels for its final maturation. These finishing barrels first held bourbon, and then held port wine. Those same barrels then aged Abraham Bowman's Port Finished Bourbon. For its fourth use, it aged a 9 year-old bourbon for an additional 3 years and 5 months. However, prior to filling those used barrels, half of the batch was barreled at 125 proof with the other half barreled at 115 proof. The bourbon was brought down to 100 proof prior to final bottling."," Virginia, USA
",https://distiller.com/spirits/abraham-bowman-sequential-series-4th-use-barrels,"
Abraham Bowman ",12 YR 5 MO
43.4%,https://ip.distiller.com/images/spirits/bb9b31c0-231f-0135-f89e-22467d78dd8d/jp_wisers_one_fifty_tile.jpg?1496164793,J.P. Wiser's One Fifty,"This limited edition whisky celebrates every week in Canada’s 150-year history. All 7,827 weeks from July 1, 1867 to July 1, 2017. To celebrate, 7,827 bottles were produced, each with a unique number matching up with a week of Canada’s history. The whisky is a blend of corn and rye whiskies aged in new oak and Canadian whisky casks since the year 2000. Exclusive to Canada."," Ontario, Canada
",https://distiller.com/spirits/j-p-wiser-s-one-fifty,"
Corby Spirit and Wine Limited ",NAS
46.0%,https://ip.distiller.com/images/spirits/68368cc0-18c9-0135-6194-26034c5b10a3/kilchoman_loch_gorm_tile.jpg?1494969497,Kilchoman Loch Gorm (2017 Release),"This bottling marks the 6th edition of the Loch Gorm whiskies, a single malt which ages exclusively in Oloroso sherry butts. The Islay whisky was filled in 2009 and after maturation was bottled at 46% ABV. It is non chill-filtered and has no color added. "," Islay, Scotland
",https://distiller.com/spirits/kilchoman-loch-gorm-2017-release,"
Kilchoman ",NAS
45.2%,https://ip.distiller.com/images/spirits/de35eca0-222a-0135-a33d-46fc76441cc6/woodford_reserve_blend_spring_2017_tile.jpg?1495579164,Woodford Reserve Blended Rye Whiskey,"This release is the first of three bottlings from Woodford Reserve's Distillery Series featuring rye to be released over the summer of 2017. It is a blend of two different whiskeys:  69% of the blend contains an 11 year-old Kentucky Straight Rye Whiskey with a mashbill of 53% rye, 33% corn, and 14% malted barley; the remaining 31% of the blend consists of 5 year-old whiskey distilled from a 100% rye mash which was aged in used Woodford Reserve bourbon barrels. This whiskey will be available in select Kentucky retailers and at the Woodford Reserve Distillery for purchase. Please note, this is packaged in 375ml bottles. "," Kentucky, USA
",https://distiller.com/spirits/woodford-reserve-blended-rye-whiskey,"
Woodford Reserve ",NAS
61.9%,https://ip.distiller.com/images/spirits/62a28db0-f64b-0134-54a7-2a8353c8aa3f/hochstadter_s_family_reserve_straight_rye_whiskey_tile.jpg?1490844839,Hochstadter's Family Reserve Straight Rye Whiskey,"Hochstadter's Family Reserve Straight Rye is a 16 year old 100% rye whiskey. It's a sourced product from Canada's Alberta Distillers, released by The Cooper Spirits Company. The barrels were selected by the late Robert J. Cooper, founder of Cooper Spirits. Bottled at a robust cask strength of 123.8 proof, the limited release includes 7,500 bottles.  "," Canada
",https://distiller.com/spirits/hochstadter-s-family-reserve-straight-rye-whiskey,"
Hochstadter's ",16 Year
52.3%,https://ip.distiller.com/images/spirits/71aa2530-f1de-0134-b550-1647e5d6941e/yula_21_year_tile.jpg?1490303540,Yula 21 Year,"Yula 21 is the following expression of the already appraised Yula 20 from Douglas Laing. Part of a trilogy, this blended malt from Islay and Islands barrels is named after the Norse goddess Yula, said to have created the island of Islay. This limited edition of 900 bottles is a year older than his brother, from the same barrels so you get to enjoy the additional year of maturation. Note: Not available in the US."," Scotland
",https://distiller.com/spirits/yula-21-year,"
Yula ",21 Year
40.0%,https://ip.distiller.com/images/spirits/a966c200-5881-0135-6562-02e2dd2fdaa4/highland_park_viking_honour_original_tile.jpg?1501548804,Highland Park 12 Year Viking Honour,"In 2017, Highland Park created new packaging and added names to their standard age statement products. Their 12 Year gets the added moniker of Viking Honour. The new labels and bottles will be rolled out over the remainder of 2017. While the bottles and packaging are getting a makeovers, the whiskies will retain their current flavor profiles. Highland Park is renowned for the peat they use and for their exclusive use of ex-sherry casks.  The climate on the Orkney Islands is quite windy and sea swept creating a dismal environment for trees.  As such, the Orcadian peat bogs have more heather, grass, and plants than those on Islay.  Highland Park 12, first released in 1979, uses about 20% 1st-fill sherry casks. 
"," Islands, Scotland
",https://distiller.com/spirits/highland-park-12-year-viking-honour,"
Highland Park ",12 Year
42.0%,https://ip.distiller.com/images/spirits/c7fa23a0-c091-0134-0ed7-76074757e5ec/pike_creek_10_year_rum_barrel_finish_tile.jpg?1490132438,Pike Creek 10 Year Rum Barrel Finish,"Pike Creek is a Windsor, Ontario suburb that is home to Hiram Walker’s warehouses. The whisky made its celebrated return to store shelves in 2012 when it was re-released with the previously extinct Lot 40. The Canadian release of Pike Creek is a 10 year old rye whisky aged in white oak barrels then finished in port pipes.  This Pike Creek expression takes that same 10 year old rye whisky, jacks up the ABV to 42% and adds a splash of rye to the corn whisky blend. Then, instead of port pipes, it’s finished in rum barrels. "," Ontario, Canada
",https://distiller.com/spirits/pike-creek-10-year-rum-barrel-finish,"
Wiser's ",10 Year
52.0%,https://ip.distiller.com/images/spirits/62b8a040-8375-0134-6398-429fd85efd9b/wild_turkey_decades_tile.jpg?1479165663,Wild Turkey Master's Keep Decades,"Following the success of Master's Keep 17 Year, is this yet another limited edition release from the father-and-son master distilling duo, Jimmy and Eddie Russell. With Eddie's promotion in 2015 to work alongside his father, the two have a combined 90 plus years of experience in the bourbon industry. In time for Eddie’s 35th anniversary at Wild Turkey, this second edition of Master's Keep bourbon was drawn from a batch of 10 to 20 year old barrels out of the middle and upper floors of the McBrayer Rickhouse, which is located at a lower elevation on the property. Master's Keep Decades is bottled at 52% ABV."," Kentucky, USA
",https://distiller.com/spirits/wild-turkey-master-s-keep-decades,"
Wild Turkey ",NAS
45.2%,https://ip.distiller.com/images/spirits/69bb2e00-739e-0134-eac1-163926da448a/woodford_reserve_masters_collection_brandy_cask_finish_tile.jpg?1476382764,Woodford Reserve Master’s Collection Brandy Cask Finish,"Launching November 2016 is the eleventh release in the limited edition Master's Collection from Woodford Reserve. Beginning with Woodford Reserve bourbon matured in standard new, charred American oak casks, the whiskey is then finished in casks of American brandy for 2 years. Without a stated age, this brandy cask-finished bourbon whiskey is bottled at 45.2% ABV."," Kentucky, USA
",https://distiller.com/spirits/woodford-reserve-master-s-collection-brandy-cask-finish,"
Woodford Reserve ",NAS
63.1%,https://ip.distiller.com/images/spirits/52399170-574b-0134-1c50-4e8213b82b8e/handy_sazerac_tile.jpg?1473361513,Thomas H. Handy Sazerac Rye (Fall 2016),"Thomas H. Handy, the first barman to use rye in the Sazerac cocktail which originally was made with Cognac. This year's bottling was distilled in the spring of 2010 and aged on the 4th, 5th, & 7th floors of Warehouses I, K, & M. It is bottled uncut and unfiltered at 126.2 proof."," Kentucky, USA
",https://distiller.com/spirits/thomas-h-handy-sazerac-rye-fall-2016,"
Buffalo Trace Antique Collection ",6 Year
50.0%,https://ip.distiller.com/images/spirits/372003c0-943d-0134-089e-3a2d1e42344d/david_nicholson_reserve_bourbon_tile.jpg?1480441469,David Nicholson Reserve Bourbon,"The David Nicholson brand traces its roots to St. Louis store owner David Nicholson, who sold his ""43"" recipe in 1843. This Reserve label is a new introduction with a high-rye mashbill, bottled at 100-proof."," Kentucky (bottled in Missouri), USA
",https://distiller.com/spirits/david-nicholson-reserve-bourbon,"
David Nicholson ",NAS
48.2%,https://ip.distiller.com/images/spirits/a42fa930-5dae-0134-a012-229b84adef84/the_macallan_edition_no_2_tile.jpg?1474416206,The Macallan Edition No. 2,"The Edition Series from The Macallan consists of limited edition blends of the distillery's malt whisky that have been matured in variety of different types of casks. This expression, the second release in the series, is the result of the collaboration between Master Distiller Bob Dalgarno, and the Roca Brothers - Joseph, Joan, and Jordi - owners of the El Cellar de la Roca restaurant. Together, they selected seven casks sourced from 4 different cooperages in Spain, for the whisky to mature in prior to blending. This is bottled at 48.2% ABV."," Highlands, Scotland
",https://distiller.com/spirits/the-macallan-edition-no-2,"
The Macallan ",NAS
46.0%,https://ip.distiller.com/images/spirits/9ce7e5e0-8360-0134-eeeb-664c9d446c1c/compass_box_spice_tree_extravaganza_tile.jpg?1478199541,Compass Box Spice Tree Extravaganza,"This reinvented bottling from Compass Box was released October 2016, on the tenth anniversary of the original bottling of Spice Tree being pulled from the market for its unconventional use of staves in the maturation process. This reinterpretation features ""older components and a significant portion of sherry-cask aged malt whisky."" It's a complex blend incorporating a vatting of Highland malts from Clynelish, Dailuaine, Teaninich, and malt whiskies from Glen Ord, Benrinnes, and Allt-á-Bhainne distilleries. Utilizing a first-fill sherry butt, a refill American standard barrel, a refill hybrid cask, a light-to-medium hybrid cask, and a heavy-toast hybrid cask, it is bottled at 46% ABV."," Scotland
",https://distiller.com/spirits/compass-box-spice-tree-extravaganza,"
Compass Box ",NAS
46.0%,https://ip.distiller.com/images/spirits/8a170790-317e-0134-7c4f-66a6fd92bb28/ancnoc_22_year_tile.jpg?1472847325,anCnoc 22 Year,"anCnoc whiskies (pronounced ""a-nock"") are produced at the Knockdhu Distillery, founded by John Morrison in 1892, at the Knock estate in Aberdeenshire. This 22 year old whisky is aged in a combination of ex-sherry and ex-bourbon oak casks. It is un-chill filtered with no additional coloring, so may get cloudy with water or if kept in cold temperatures."," Highlands, Scotland
",https://distiller.com/spirits/ancnoc-22-year,"
anCnoc ",22 Year
